WY,Runoff_Winter_Sac1,Runoff_Spring_Sac,Runoff_Sac,Index_Sac,WYType_Sac,Runoff_Winter_SJ1,Runoff_Spring_SJ,Runoff_SJ,Index_SJ,WYType_SJ
1980,15.49,6,22.33,9.04,AN,3.74,5.41,9.47,4.73,W
1981,6.81,3.63,11.1,6.21,D,0.85,2.29,3.22,2.44,D
1982,20.56,11.82,33.41,12.76,W,3.78,7,11.41,5.45,W
1983,22.75,13.66,37.68,15.29,W,5.42,8.73,15.01,7.22,W
1984,15.98,5.52,22.35,10,W,3.51,3.48,7.13,3.69,AN
1985,6.24,4,11.04,6.47,D,1.11,2.41,3.6,2.4,D
1986,19.45,5.45,25.83,9.96,W,4.36,4.92,9.5,4.31,W
1987,5.85,2.8,9.27,5.86,D,0.55,1.48,2.08,1.86,C
1988,5.78,2.9,9.23,4.65,C,0.86,1.55,2.48,1.48,C
1989,9.03,5.07,14.82,6.13,D,1.07,2.42,3.56,1.96,C
1990,4.94,3.72,9.26,4.81,C,0.83,1.59,2.46,1.51,C
1991,3.9,4.01,8.44,4.21,C,0.56,2.57,3.2,1.96,C
1992,5.41,2.93,8.87,4.06,C,0.86,1.66,2.58,1.56,C
1993,12.44,8.98,22.21,8.54,AN,2.49,5.65,8.38,4.2,W
1994,4.55,2.73,7.81,5.02,C,0.66,1.8,2.54,2.05,C
1995,19.83,13.6,34.55,12.89,W,3.67,8.01,12.32,5.95,W
1996,13.05,8.37,22.29,10.26,W,2.57,4.51,7.22,4.12,W
1997,20.22,4.39,25.42,10.82,W,5.75,3.59,9.51,4.13,W
1998,17.65,12.54,31.4,13.31,W,2.82,7.11,10.43,5.65,W
1999,12.97,7.26,21.19,9.8,W,1.9,3.85,5.91,3.59,AN
2000,12.06,5.96,18.9,8.94,AN,1.98,3.78,5.9,3.38,AN
2001,5.64,3.46,9.81,5.76,D,0.92,2.23,3.18,2.2,D
2002,9.32,4.57,14.6,6.35,D,1.27,2.75,4.06,2.34,D
2003,10.71,7.74,19.31,8.21,AN,1.25,3.49,4.87,2.81,BN
2004,10.95,4.4,16.04,7.51,BN,1.51,2.25,3.81,2.21,D
2005,8.4,9.28,18.55,8.49,AN,2.73,6.28,9.21,4.75,W
2006,18.06,13.09,32.09,13.2,W,2.86,7.37,10.44,5.9,W
2007,6.59,3.04,10.28,6.19,D,0.99,1.46,2.51,1.97,C
2008,5.9,3.82,10.28,5.16,C,0.99,2.45,3.49,2.06,C
2009,7.05,5.3,13.02,5.78,D,1.51,3.35,4.94,2.72,BN
2010,7.45,7.78,16.01,7.08,BN,1.43,4.53,6.08,3.55,AN
2011,12.68,11.53,25.21,10.54,W,3.68,6.9,10.99,5.58,W
2012,5.69,5.46,11.84,6.89,BN,0.83,1.86,2.76,2.18,D
2013,8.52,3.01,12.19,5.83,D,1.33,1.67,3.05,1.71,C
2014,4.29,2.59,7.46,4.07,C,0.46,1.21,1.72,1.16,C
2015,6.91,1.77,9.23,4,C,0.67,0.74,1.44,0.81,C
2016,12.24,4.6,17.48,6.71,BN,2.03,2.98,5.06,2.35,D
2017,26.17,10.69,37.82,14.14,W,6.65,7.77,14.84,6.46,W
2018,7.09,5.05,12.86,7.14,BN,1.64,3.01,4.76,3.03,BN
2019,13.11,10.66,24.77,10.34,W,2.64,6.34,9.28,4.94,W
2020,4.91,4.13,9.71,6.12,D,0.8,2.15,3.02,2.35,D
2021,3.52,2.26,6.37,3.8,C,0.51,1.24,1.8,1.32,C
2022,6.71,3.49,10.79,4.55,C,1.58,1.63,3.32,1.56,C
2023,13.11,10.07,24.11,9.33,W,4.77,8.56,13.8,6.4,W
2024,10.56,6.12,17.47,8.41,AN,1.61,3.78,5.48,3.49,AN
