Day,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
118,,,,,,,,,,,,,,,,,,,,,
119,,,2,,,,,,,,,,,,,,,,,,
120,,2,4,,,,,,,,,,,,,,,,,,
121,,9,,,1,,,,,,1,,,,,,1,,,,
122,,,,2,,,,,,,2,,,,1,3,1,,,1,
123,,10,3,4,1,2,,,,,,,,,,,1,,,,
124,,3,,6,,,,2,1,,1,,,2,,,,,,2,
125,,,,6,2,,,3,,,,,,1,,,1,,2,,
126,3,,3,8,2,5,1,,1,,,1,,,1,,2,,1,,
127,2,2,,,,1,,2,,,,,,1,,,,,1,2,
128,,,3,3,3,,1,1,,,1,,,,,2,,,3,,
129,8,2,1,4,4,1,1,,,,,,,,,,1,2,,1,
130,2,7,,2,,,,3,1,1,1,,,1,,,1,,,3,
131,,,1,8,3,,1,1,,1,1,1,,,,,,,8,,
132,25,3,4,8,7,,1,,,,,1,2,,,,,,1,,2
133,2,1,2,6,,,,4,,,1,,,1,,,2,,1,5,
134,,,1,8,2,,,5,,,1,1,1,,,1,,,4,1,
135,17,1,3,12,9,4,2,1,,,,,1,,,,,6,1,,
136,6,3,,4,1,1,,1,,1,1,,,3,1,,1,,1,,
137,,,1,8,3,,1,5,,,1,,,,,,,,4,1,
138,17,2,,8,10,10,1,,,,,1,2,,,,2,,,,
139,,4,1,1,,1,,3,,,,,,3,1,,1,,3,5,
140,,,1,9,,1,1,,,,1,,3,,,,,,5,1,
141,22,2,6,21,10,2,3,,,,,2,2,,1,,1,2,,2,
142,4,7,2,3,2,,1,4,,,1,,,1,,,5,,2,2,
143,,,8,7,1,,1,9,,3,4,,2,,,,2,,3,1,
144,19,5,17,25,14,2,,1,1,,,3,6,1,,,1,3,,,1
145,6,5,,1,1,,,4,,,1,,,1,,,3,,4,2,
146,,,6,13,2,3,1,4,,,1,,,,,,,1,7,,
147,25,6,21,38,11,11,4,,,,,4,6,1,,,,2,1,1,1
148,5,10,2,5,,,,2,,,,,,,,,3,,3,9,
149,,,10,12,1,,2,,,1,,1,1,1,,,1,2,4,,
150,33,9,20,35,10,4,6,,,,,3,2,,1,,6,2,1,,1
151,3,12,2,9,3,2,,3,1,,2,,,1,,,11,,5,8,
152,,,12,17,4,1,3,12,,2,4,1,,2,1,,1,1,6,,1
153,40,13,26,65,16,9,17,,,,,1,2,1,3,,,5,1,,
154,5,21,3,3,1,,,2,3,,,1,1,1,2,,1,,4,7,
155,,,19,20,4,2,2,7,,,9,,1,,,,,1,17,2,1
156,38,10,38,71,9,7,11,,1,,,7,3,,2,,2,3,,1,4
157,12,8,4,14,,,2,5,2,,1,2,,,,,12,1,11,11,
158,,,18,48,5,3,4,11,,7,8,1,1,1,1,,1,1,16,,
159,51,10,50,111,16,19,21,2,,,,8,7,,2,,2,5,,3,1
160,13,11,5,5,2,1,1,3,,1,1,,2,3,,,11,,8,11,
161,,4,19,33,7,4,7,12,,,6,1,1,1,2,1,3,1,28,,1
162,46,21,82,105,17,30,24,2,1,,,6,9,1,,,11,4,1,1,2
163,20,17,6,14,1,,,9,2,2,1,,1,2,,,16,1,8,6,
164,,,40,63,5,10,11,20,,7,4,1,2,,,,3,3,31,2,1
165,75,19,105,190,14,39,35,1,1,,1,10,10,1,1,,11,22,1,4,7
166,11,19,8,17,,1,6,5,4,,3,,1,1,1,,25,1,4,20,
167,,10,50,68,5,16,17,12,,7,12,4,2,1,1,,1,3,41,,3
168,79,18,122,97,32,41,67,1,3,2,1,17,7,1,1,,9,14,3,1,7
169,23,37,17,17,3,,3,7,4,3,3,1,1,3,,,29,1,5,28,
170,,9,51,52,10,6,31,19,,7,14,3,3,1,1,,5,3,42,2,3
171,104,25,232,216,46,34,49,1,3,,,19,8,2,,,15,26,,1,8
172,21,35,16,12,4,,2,8,2,1,4,1,,4,1,,21,1,9,27,1
173,,5,82,75,16,17,29,18,2,11,22,5,2,1,1,1,3,4,60,2,2
174,124,52,216,179,31,60,107,2,2,,3,14,22,1,,,13,33,1,2,10
175,41,54,18,5,1,4,2,8,7,2,5,,,3,,1,38,,13,46,2
176,,11,76,78,13,29,41,18,1,16,15,6,3,,,1,7,6,79,,3
177,160,52,291,215,37,79,72,,2,,,18,36,2,1,,14,30,,7,10
178,51,52,24,30,2,1,4,15,13,5,4,1,1,5,1,,41,2,6,28,
179,,12,87,116,12,18,33,23,,21,47,6,2,,4,2,1,9,87,1,5
180,184,75,312,255,46,72,112,1,5,2,2,14,17,1,,,17,46,4,7,12
181,52,88,20,18,2,3,4,18,12,4,14,,,8,,1,36,1,25,46,
182,,12,139,134,11,28,39,37,1,22,62,6,9,1,1,,4,16,94,1,6
183,246,85,321,316,61,89,112,2,5,1,11,48,17,1,2,1,21,79,6,6,21
184,45,53,20,9,2,2,5,9,19,8,15,,3,8,1,1,40,2,23,56,2
185,,9,132,99,34,27,36,48,,26,91,5,17,,2,1,6,14,84,3,2
186,219,117,302,341,76,113,135,4,4,1,5,48,31,1,4,,25,83,4,5,17
187,37,78,19,29,5,4,4,9,12,4,17,2,1,9,,,69,4,24,38,3
188,,15,113,112,20,20,31,41,,33,110,4,2,,3,6,7,22,113,4,2
189,232,106,273,305,74,44,76,1,5,,5,40,33,2,4,1,26,98,5,7,20
190,55,97,27,22,2,,1,10,20,8,23,2,1,9,,1,92,5,36,57,
191,,12,147,130,24,10,37,28,1,44,109,9,2,,,4,6,24,142,3,2
192,248,97,308,365,91,53,104,1,5,1,4,31,37,2,3,1,20,78,2,9,17
193,42,142,20,27,1,,2,7,18,8,21,1,1,6,1,1,79,2,20,71,
194,,8,112,149,20,13,17,32,4,46,158,11,6,,2,5,5,27,97,3,5
195,224,136,270,369,108,64,43,1,3,1,5,43,42,2,,2,18,74,5,7,18
196,43,151,24,26,3,,,6,25,2,18,1,,4,,,68,4,14,59,
197,,15,176,97,24,10,18,30,2,40,67,9,5,1,1,13,8,14,134,3,5
198,157,75,276,274,105,40,38,,1,,3,25,40,1,2,2,17,78,6,10,24
199,27,130,14,27,,3,,5,13,6,21,,,8,,2,54,6,22,58,
200,,8,119,103,1,10,21,22,,44,106,11,4,,3,6,4,24,108,1,3
201,244,78,241,218,79,37,56,1,5,1,6,27,26,1,4,,19,77,3,7,7
202,55,107,25,12,2,1,1,3,29,8,21,,3,8,,7,51,2,19,43,
203,,2,132,58,30,5,6,23,,72,108,12,2,,1,9,6,32,100,1,1
204,179,58,293,204,62,18,48,1,4,,3,24,27,,7,2,16,76,3,9,10
205,44,105,19,6,1,,,6,19,2,20,1,,6,3,3,47,2,24,47,
206,,7,111,74,13,7,7,13,1,42,89,8,4,,5,8,3,21,77,3,
207,156,48,240,122,60,28,19,1,3,1,3,29,23,1,3,1,11,72,4,8,9
208,34,81,14,3,1,,,7,11,2,10,1,,8,1,,56,1,12,42,
209,,4,59,41,13,3,1,8,,36,79,,1,,,,4,17,73,1,
210,151,50,212,109,59,16,11,,5,,2,25,20,1,11,1,13,49,1,2,6
211,18,57,18,9,,,,4,14,2,11,,,1,1,6,45,1,6,33,
212,,6,76,28,13,5,3,13,,28,80,4,3,,6,8,4,7,55,1,
213,135,20,159,90,35,15,21,1,1,1,,18,8,2,2,,12,45,,3,
214,18,63,8,3,,,,2,11,4,10,,,3,2,5,33,2,3,19,
215,,,29,30,6,3,,9,1,29,71,,3,,1,7,,13,22,,1
216,113,17,143,63,28,4,14,1,5,,,9,10,1,2,4,4,24,1,6,
217,8,38,2,6,,,,1,8,,12,,,8,1,2,39,1,,23,
218,,3,31,17,5,,3,6,,14,36,1,1,,,5,2,5,22,,
219,61,20,100,39,13,3,2,,1,,3,10,10,1,3,1,4,21,1,1,4
220,8,21,1,1,,,1,2,13,1,3,,,3,,4,13,,3,15,
221,,1,39,10,6,,1,4,,9,25,1,,,4,8,1,5,21,,
222,53,12,67,23,8,4,5,,1,,1,4,5,,2,1,3,8,,1,1
223,7,16,4,1,1,,,2,5,1,1,,,1,,3,5,2,,13,
224,,,17,8,1,2,,,,3,12,,,,2,7,,4,13,,
225,35,11,47,22,7,1,1,,,,,2,4,,3,,,13,,1,
226,4,23,1,2,,,,,8,,2,,1,2,1,3,6,,5,6,
227,,,5,2,,,,4,,4,15,,,,4,3,,2,7,1,
228,47,2,48,16,3,3,1,,,,,1,1,1,1,1,1,6,2,,
229,2,20,1,,,,,1,4,,,,,1,1,1,6,,,5,
230,,,6,2,2,,,1,,1,6,,,,2,4,,1,6,,
231,13,1,16,5,1,,1,,,,,1,2,,4,,1,2,1,1,
232,3,7,1,,,,,1,3,,,,,2,,,3,,1,4,
233,,,4,2,1,,,,,,3,,,,,2,,,6,,
234,6,2,24,6,1,,,,,,,,,,,,,5,,1,
235,2,5,,,,,,,,,,,,,,,3,,,1,
236,,,9,,4,,,1,,1,,,,,,3,,,,,
237,6,,4,14,,,,,,,,2,,,1,,,,,,
238,,2,,,,,,,1,,,,,,,,,,2,1,
239,,,,,,,,,,,1,,,,,2,,,2,,
240,8,,11,,,,,,,,,,,,1,,,1,,,
241,,3,,,,,,,1,,,,,,,,,,,4,
242,,,,,,,,,,,1,,1,,1,,,,1,,
243,,1,2,,,,,,,,,,,,1,1,,,,,
244,2,,,,,,,,,,,,,,,,1,,,1,
245,,,2,,,,,,,,1,,,,1,,,,1,1,
246,3,,,,,,,,,,,,,,,,1,1,,1,
247,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,1,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,1,,,
250,,,,,,,,,,,,,,,,,,,1,2,
251,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,1,,,
253,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,1,,,
255,,,,,,,,,,,,,,,,,2,,,,
256,,,,,,,,,,,,,,,,,,1,,,
257,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,
